연도,문항,단어,뜻,예문
25년 3월,20번(주장),complement,보완하다,It's about using gestures to complement your spoken messages.
25년 3월,20번(주장),atmosphere,분위기,...creating an atmosphere of trust.
25년 3월,20번(주장),collaboration,협력,You invite openness and collaboration when you speak with your palms facing up.
25년 3월,20번(주장),distract,산만하게 하다,Too many hand movements can distract from your message.
25년 3월,20번(주장),overshadow,가리다/무색하게 하다,Your gestures should highlight your words, not overshadow them.
25년 6월,38번(위치),surroundings,환경/주위,To monitor our surroundings is to focus on what's outside of ourselves.
25년 6월,38번(위치),navigate,길을 찾다/이동하다,...factors that shape the way riders used and navigated that space...
25년 6월,38번(위치),abstract,추상적인,This idea felt abstract until I saw it in action.
25년 6월,38번(위치),proximity,근접성,the discomfort of physical proximity
25년 9월,29번(어법),counterintuitive,직관에 반하는,might sound counterintuitive at first
25년 9월,29번(어법),offspring,자식/새끼,a larger percentage of their offspring survive
25년 6월,34번(빈칸),refute,반박하다,reconsider their data and possibly refute their conclusions
25년 6월,41번(장문),calculus,계산법,altering the calculus of our financial decisions
25년 6월,41번(장문),anesthetize,마비시키다,your brain is anesthetized against the pain
25년 9월,30번(어휘),nomadic,유목의,Certain nomadic tribes don't have much
25년 9월,30번(어휘),hospitality,환대,give you their food and hospitality
25년 9월,32번(빈칸),compound,화합물,a compound known as adenosine
25년 9월,32번(빈칸),accumulation,축적,An accumulation of adenosine
25년 9월,37번(순서),friction,마찰(력),This is the force called friction
25년 9월,37번(순서),exert,힘을 가하다/행사하다,they must be exerting a force on the bicycle
25년 10월,21번(함축),regeneration,재생,urban regeneration projects
25년 10월,21번(함축),displacement,퇴거/이동,results in the exclusion or displacement
25년 10월,22번(요지),seep,스며들다,slowly seeping into the public agenda
25년 10월,22번(요지),vague,희미한/모호한,at least a vague idea about where their kidneys are
25년 10월,30번(어휘),transparency,투명성,Transparency is vital.
25년 10월,30번(어휘),skeptical,회의적인,Gen Z is skeptical of large corporations
25년 10월,34번(빈칸),sentient,지각 능력이 있는,each sentient creature should have the opportunity
